index,name,price,location,property_status,property_living_size,property_lot_size ,property_type,bedrooms,bathrooms,Pool,link
0,Matadera,RENTED,Matadera,,,,Residential,2,1,Garden,https://century21aruba.com//en/d/matadera-home-for-rent-aruba-1149410
2,Fuerte,RENTED,Paradera,,,,Residential,3,2,Garden,https://century21aruba.com//en/d/fuerte-home-for-rent-aruba-1148990
4,Fuerte 61,RENTED,Paradera,,,,Residential,3,2,Garden,https://century21aruba.com//en/d/fuerte-61-home-for-rent-aruba-1149884
6,Kudawecha,RENTED,Kudawecha,,,,Residential,3,2,Garden,https://century21aruba.com//en/d/kudawecha-home-for-rent-aruba-1148947
9,Paradera 115 - T,RENTED,Bloemond,,,,Residential,2,2,Garden,https://century21aruba.com//en/d/paradera-115-t-home-for-rent-aruba-1148967
11,Monte Verde 21,RENTED,Hooiberg,,,,Residential,3,2,Garden,https://century21aruba.com//en/d/monte-verde-21-home-for-rent-aruba-1148764
13,Nuñe,RENTED,Paradera,,,,Residential,3,2,Garden,https://century21aruba.com//en/d/nune-home-for-rent-aruba-1149327
15,Pavia 29 - A,RENTED,Piedra,,,,Residential,3,2,Garden,https://century21aruba.com//en/d/pavia-29-a-home-for-rent-aruba-1149998
17,Quillstraat 36,RENTED,Esso,,,,Residential,3,2,Garden,https://century21aruba.com//en/d/quillstraat-36-home-for-rent-aruba-1148844
19,Palma Real Condo,"US$ 1,750",Palm,Under Contract,93,,Residential,2,2,Pool,https://century21aruba.com//en/d/palma-real-condo-home-for-rent-aruba-1150036
21,Washington,RENTED,Washington,,,,Residential,2,2,Pool,https://century21aruba.com//en/d/washington-home-for-rent-aruba-1149160
23,Calabas,RENTED,Calbas,,,,Residential,2,3,Panoramic,https://century21aruba.com//en/d/calabas-home-for-rent-aruba-1149537
25,San Barbola 279,RENTED,San,,,,Residential,3,2,Pool,https://century21aruba.com//en/d/san-barbola-279-home-for-rent-aruba-1148777
27,Washington Gardens,RENTED,Washington,,,,Residential,3,2,Pool,https://century21aruba.com//en/d/washington-gardens-home-for-rent-aruba-1148249
